"id","updatedAt","DomainName","CurrentStatus","RDAPStatusCode"
129,"2025-11-02 14:45:52+00","cu",2,200
130,"2025-11-02 14:45:53+00","cv",2,200
131,"2025-11-02 14:46:27+00","cw",2,200
132,"2025-11-02 14:46:28+00","cx",2,200
133,"2025-11-02 14:46:29+00","cy",1,404
134,"2025-11-02 14:46:31+00","cz",1,404
135,"2025-11-02 14:46:32+00","c0",1,404
136,"2025-11-02 14:46:32+00","c1",2,200
137,"2025-11-02 14:46:34+00","c2",2,200
138,"2025-11-02 14:46:35+00","c3",2,200
139,"2025-11-02 14:46:36+00","c4",2,200
140,"2025-11-02 14:46:36+00","c5",2,200
141,"2025-11-02 14:46:37+00","c6",2,200
142,"2025-11-02 14:46:43+00","c7",2,200
143,"2025-11-02 14:46:46+00","c8",1,404
144,"2025-11-02 14:46:46+00","c9",2,200
145,"2025-11-02 14:46:47+00","da",2,200
146,"2025-11-02 14:46:48+00","db",2,200
147,"2025-11-02 14:46:48+00","dc",2,200
148,"2025-11-02 14:46:49+00","dd",2,200
149,"2025-11-02 14:46:50+00","de",2,200
150,"2025-11-02 14:46:50+00","df",2,200
151,"2025-11-02 14:46:51+00","dg",2,200
152,"2025-11-02 14:46:53+00","dh",2,200
153,"2025-11-02 15:00:30+00","di",2,200
154,"2025-11-02 15:00:31+00","dj",2,200
155,"2025-11-02 15:00:32+00","dk",1,404
156,"2025-11-02 15:00:32+00","dl",2,200
157,"2025-11-02 15:00:34+00","dm",2,200
158,"2025-11-02 15:00:35+00","dn",2,200
159,"2025-11-02 15:00:37+00","do",2,200
160,"2025-11-02 15:00:45+00","dp",2,200
161,"2025-11-02 15:00:46+00","dq",1,404
162,"2025-11-02 15:00:48+00","dr",2,200
163,"2025-11-02 15:45:30+00","ds",2,200
164,"2025-11-02 15:45:31+00","dt",2,200
165,"2025-11-02 15:45:31+00","du",2,200
166,"2025-11-02 15:45:32+00","dv",1,404
167,"2025-11-02 15:45:33+00","dw",2,200
168,"2025-11-02 15:45:33+00","dx",2,200
169,"2025-11-02 15:45:34+00","dy",2,200
170,"2025-11-02 15:45:35+00","dz",1,404
171,"2025-11-02 16:00:30+00","d0",1,404
172,"2025-11-02 16:00:32+00","d1",2,200
173,"2025-11-02 16:00:32+00","d2",1,404
174,"2025-11-02 16:00:33+00","d3",2,200
175,"2025-11-02 16:00:34+00","d4",1,404
176,"2025-11-02 16:00:35+00","d5",2,200
177,"2025-11-02 16:00:35+00","d6",2,200
178,"2025-11-02 16:00:36+00","d7",2,200
