"id","updatedAt","DomainName","CurrentStatus","RDAPStatusCode"
231,NULL,"fo",2,200
232,NULL,"fp",2,200
233,NULL,"fq",2,200
234,NULL,"fr",2,200
235,NULL,"fs",2,200
236,NULL,"ft",2,200
237,NULL,"fu",2,200
238,NULL,"fv",2,200
239,NULL,"fw",2,200
240,NULL,"fx",2,200
241,NULL,"fy",2,200
242,NULL,"fz",2,200
243,NULL,"f0",2,200
244,NULL,"f1",2,200
245,NULL,"f2",2,200
246,NULL,"f3",2,200
247,NULL,"f4",2,200
248,NULL,"f5",2,200
249,NULL,"f6",2,200
250,NULL,"f7",2,200
251,NULL,"f8",2,200
252,NULL,"f9",2,200
253,NULL,"ga",2,200
254,NULL,"gb",2,200
255,NULL,"gc",2,200
256,NULL,"gd",2,200
257,NULL,"ge",2,200
258,NULL,"gf",2,200
259,NULL,"gg",2,200
260,NULL,"gh",2,200
261,NULL,"gi",2,200
262,NULL,"gj",2,200
263,NULL,"gk",2,200
264,NULL,"gl",2,200
265,NULL,"gm",2,200
266,NULL,"gn",2,200
267,NULL,"go",2,200
268,NULL,"gp",2,200
269,NULL,"gq",2,200
270,NULL,"gr",2,200
271,NULL,"gs",2,200
272,NULL,"gt",2,200
273,NULL,"gu",2,200
274,NULL,"gv",2,200
275,NULL,"gw",2,200
276,NULL,"gx",2,200
277,NULL,"gy",2,200
278,NULL,"gz",2,200
279,NULL,"g0",2,200
280,NULL,"g1",2,200
281,NULL,"g2",2,200
282,NULL,"g3",2,200
283,NULL,"g4",2,200
284,NULL,"g5",2,200
285,NULL,"g6",2,200
286,NULL,"g7",2,200
287,NULL,"g8",2,200
288,NULL,"g9",2,200
289,NULL,"ha",2,200
290,NULL,"hb",2,200
291,NULL,"hc",2,200
292,NULL,"hd",2,200
293,NULL,"he",2,200
294,NULL,"hf",2,200
295,NULL,"hg",2,200
296,NULL,"hh",2,200
297,NULL,"hi",2,200
298,NULL,"hj",2,200
299,NULL,"hk",2,200
300,NULL,"hl",2,200
301,NULL,"hm",2,200
302,NULL,"hn",2,200
303,NULL,"ho",2,200
304,NULL,"hp",2,200
305,NULL,"hq",2,200
306,NULL,"hr",2,200
